code,scheme_name,funding_commencement_year,grant_status,funding_at_announcement,funding_current,administering_organisation,for_primary_codes,for_primary_names,for_all_codes,for_all_names,fellowship_holders,fellowship_holders_orcids,lead_ci_orcid,lead_ci_citations_openalex_through_award_year,lead_ci_openalex_author_id,lead_ci_citation_source
DE240100584,Discovery Early Career Researcher Award,2024,Active,408416,446645.0,The University of Queensland,5205,Social and Personality Psychology,5205; 520505,Social and Personality Psychology; Social Psychology,Dr Leah Sharman,0000-0003-1989-6380,0000-0003-1989-6380,885,https://openalex.org/A5031553554,openalex_counts_by_year
DE240100587,Discovery Early Career Researcher Award,2024,Active,443347,484382.0,The University of Western Australia,5108,Quantum Physics,400909; 510102; 5108; 510804,"Photonic and Electro-Optical Devices, Sensors and Systems (Excl. Communications); Astronomical Instrumentation; Quantum Physics; Quantum Optics and Quantum Optomechanics",Dr David Gozzard,0000-0001-8828-6469,0000-0001-8828-6469,588,https://openalex.org/A5048133452,openalex_counts_by_year
DE240100590,Discovery Early Career Researcher Award,2024,Active,457500,500190.0,The University of New South Wales,5108,Quantum Physics,510404; 5108; 510803; 510805,"Electronic and Magnetic Properties of Condensed Matter; Superconductivity; Quantum Physics; Quantum Information, Computation and Communication; Quantum Technologies",Dr Maja Cassidy,0000-0002-7780-1549,0000-0002-7780-1549,2159,https://openalex.org/A5049637075,openalex_counts_by_year
DE240100606,Discovery Early Career Researcher Award,2024,Active,426105,465391.0,Macquarie University,5202,Biological Psychology,5202; 520203; 520401,Biological Psychology; Cognitive Neuroscience; Cognition,Dr Rebecca Keogh,0000-0003-4814-433X,0000-0003-4814-433X,2230,https://openalex.org/A5072033809,openalex_counts_by_year
DE240100611,Discovery Early Career Researcher Award,2024,Active,393664,429300.0,University of the Sunshine Coast,4406,Human Geography,4406; 440699,Human Geography; Human Geography Not Elsewhere Classified,Dr Carmen Elrick-Barr,0000-0001-6868-1373,0000-0001-6868-1373,760,https://openalex.org/A5051967845,openalex_counts_by_year
DE240100614,Discovery Early Career Researcher Award,2024,Active,443007,484039.0,The University of New South Wales,5202,Biological Psychology,5202; 520202,Biological Psychology; Behavioural Neuroscience,Dr Belinda Lay,,,,,
DE240100616,Discovery Early Career Researcher Award,2024,Active,411500,449629.0,Deakin University,4407,Policy and Administration,420603; 4407; 440706,Health Promotion; Policy and Administration; Health Policy,Dr Miranda Blake,0000-0002-0649-2320,0000-0002-0649-2320,1947,https://openalex.org/A5005706101,openalex_counts_by_year
DE240100623,Discovery Early Career Researcher Award,2024,Active,412037,450359.0,The University of Queensland,4016,Materials Engineering,400409; 4016; 401605; 401807,Separation Technologies; Materials Engineering; Functional Materials; Nanomaterials,Dr Mike Tebyetekerwa,0000-0002-4243-6043,0000-0002-4243-6043,6217,https://openalex.org/A5007987712,openalex_counts_by_year
DE240100625,Discovery Early Career Researcher Award,2024,Active,446700,488074.0,The University of Adelaide,5102,"Atomic, Molecular and Optical Physics",400601; 5102; 510205,"Antennas and Propagation; Atomic, Molecular and Optical Physics; Terahertz Physics",Dr Daniel Headland,0000-0003-1527-180X,0000-0003-1527-180X,1764,https://openalex.org/A5063830113,openalex_counts_by_year
DE240100627,Discovery Early Career Researcher Award,2024,Active,436250,476467.0,University of Wollongong,5104,Condensed Matter Physics,5104; 510403,Condensed Matter Physics; Condensed Matter Modelling and Density Functional Theory,Dr Xiaotian Wang,0000-0002-2679-780X,0000-0002-2679-780X,5644,https://openalex.org/A5100395723,openalex_counts_by_year
DE240100633,Discovery Early Career Researcher Award,2024,Active,460573,503022.0,RMIT University,4104,Environmental Management,4104; 410402; 410404; 410501,Environmental Management; Environmental Assessment and Monitoring; Environmental Management; Environmental Biogeochemistry,Dr Tanveer Mehedi Adyel,0000-0001-5940-5406,0000-0001-5940-5406,2753,https://openalex.org/A5045274651,openalex_counts_by_year
DE240100635,Discovery Early Career Researcher Award,2024,Active,448801,489821.0,The University of New South Wales,4202,Epidemiology,4202; 420201; 420208; 490508,Epidemiology; Behavioural Epidemiology; Nutritional Epidemiology; Statistical Data Science,Dr Miaobing Zheng,0000-0002-4151-3502,0000-0002-4151-3502,2145,https://openalex.org/A5072918037,openalex_counts_by_year
DE240100636,Discovery Early Career Researcher Award,2024,Active,429000,468616.0,Macquarie University,4804,Law In Context,480307; 4804; 480405,International Humanitarian and Human Rights Law; Law In Context; Law and Society and Socio-Legal Research,Dr Christoph Sperfeldt,0000-0001-5573-6566,0000-0001-5573-6566,421,https://openalex.org/A5072274624,openalex_counts_by_year
DE240100650,Discovery Early Career Researcher Award,2024,Active,443237,516683.0,Queensland University of Technology,4901,Applied Mathematics,4901; 490102,Applied Mathematics; Biological Mathematics,Dr Adrianne Jenner,0000-0001-9103-7092,0000-0001-9103-7092,874,https://openalex.org/A5050645790,openalex_counts_by_year
DE240100652,Discovery Early Career Researcher Award,2024,Active,426000,465363.0,The Australian National University,4807,Public Law,480405; 4807; 480703; 480704,"Law and Society and Socio-Legal Research; Public Law; Domestic Human Rights Law; Migration, Asylum and Refugee Law",A/Prof Kate Ogg,,,,,
DE240100654,Discovery Early Career Researcher Award,2024,Active,468367,512083.0,The University of Melbourne,3705,Geology,3705; 370508; 370511,Geology; Resource Geoscience; Structural Geology and Tectonics,Dr Melanie Finch,0000-0002-3822-9922,0000-0002-3822-9922,0,,openalex_counts_by_year
DE240100660,Discovery Early Career Researcher Award,2024,Active,421117,460443.0,The University of Adelaide,4016,Materials Engineering,4016; 401605; 401807,Materials Engineering; Functional Materials; Nanomaterials,Dr Huayang Zhang,0000-0002-7503-5481,0000-0002-7503-5481,9496,https://openalex.org/A5011541826,openalex_counts_by_year
DE240100661,Discovery Early Career Researcher Award,2024,Active,439237,89740.0,The University of Adelaide,4018,Nanotechnology,400404; 401605; 4018; 401807,Electrochemical Energy Storage and Conversion; Functional Materials; Nanotechnology; Nanomaterials,Dr Haobo Li,0000-0002-9448-6771,0000-0002-9448-6771,11647,https://openalex.org/A5100669174,openalex_counts_by_year
DE240100664,Discovery Early Career Researcher Award,2024,Active,451847,493473.0,The University of New South Wales,3405,Organic Chemistry,3405; 340503; 340505,Organic Chemistry; Organic Chemical Synthesis; Physical Organic Chemistry,Dr Martin Peeks,0000-0002-9057-9444,0000-0002-9057-9444,1719,https://openalex.org/A5000883844,openalex_counts_by_year
DE240100668,Discovery Early Career Researcher Award,2024,Active,435000,475195.0,The University of New South Wales,4605,Data Management and Data Science,4605; 460503; 460506; 460509,"Data Management and Data Science; Data Models, Storage and Indexing; Graph, Social and Multimedia Data; Query Processing and Optimisation",Dr Dong Wen,0000-0002-0903-1503,0000-0002-0903-1503,570,https://openalex.org/A5101509225,openalex_counts_by_year
DE240100674,Discovery Early Career Researcher Award,2024,Active,370237,404514.0,The University of New South Wales,4903,Numerical and Computational Mathematics,490103; 4903; 490304,"Calculus of Variations, Mathematical Aspects of Systems Theory and Control Theory; Numerical and Computational Mathematics; Optimisation",Dr Mareike Dressler,0000-0002-5684-4101,0000-0002-5684-4101,60,https://openalex.org/A5078197291,openalex_counts_by_year
DE240100699,Discovery Early Career Researcher Award,2024,Active,446110,487218.0,The University of Melbourne,3304,Urban and Regional Planning,3304; 330404; 410404,Urban and Regional Planning; Land Use and Environmental Planning; Environmental Management,Dr Judy Bush,0000-0002-7847-6610,0000-0002-7847-6610,1813,https://openalex.org/A5001492283,openalex_counts_by_year
DE240100707,Discovery Early Career Researcher Award,2024,Active,450926,493853.0,University of Wollongong,3101,Biochemistry and Cell Biology,3101; 310102; 310108; 310109,"Biochemistry and Cell Biology; Cell Development, Proliferation and Death; Protein Trafficking; Proteomics and Intermolecular Interactions (Excl. Medical Proteomics)",Dr Dezerae Cox,0000-0002-5345-8360,0000-0002-5345-8360,1231,https://openalex.org/A5040493228,openalex_counts_by_year
DE240100711,Discovery Early Career Researcher Award,2024,Active,416237,454513.0,The University of Sydney,5003,Philosophy,5003; 500306; 500311; 500312,Philosophy; Ethical Theory; Philosophical Psychology (Incl. Moral Psychology and Philosophy of Action); Philosophy of Cognition,Dr Andrew Latham,0000-0001-8639-8053,0000-0001-8639-8053,1168,https://openalex.org/A5072270809,openalex_counts_by_year
