code,funding_commencement_year,grant_status,funding_at_announcement,funding_current,administering_organisation,chief_investigators,chief_investigators_orcids
DP150102070,2015,Closed,473200,489338.0,The Australian National University,Prof Yuri Kivshar,0000-0002-3410-812X
DP150103286,2015,Closed,277187,285449.0,Southern Cross University,Prof Christian Sanders; Prof Isaac Santos,0000-0003-0090-0896; 0000-0003-0524-842X
DP150102675,2015,Closed,236700,244894.0,La Trobe University,Prof Lawrie Zion; Prof Timothy Marjoribanks; Prof Matthew Ricketson; Dr Penelope O'Donnell; A/Prof Andrew Dodd; Dr Merryn Sherwood,0000-0003-2086-3076; 0000-0002-8742-5946; 0000-0003-3671-3304
DP150104107,2015,Closed,266300,275518.0,The University of New South Wales,Prof Stephen Foster; Prof Hamid Valipour,0000-0003-1162-0929
DP150101513,2015,Closed,364900,377122.0,The University of Queensland,Prof James Shulmeister; Prof Patrick Hesp; A/Prof Graziela Miot da Silva; Dr Kevin Welsh; A/Prof Talitha Santini,0000-0001-5863-9462; 0000-0003-4573-2945; 0000-0003-1190-8076; 0000-0002-4834-4190; 0000-0002-6396-3731
DP150104609,2015,Closed,503000,520412.0,The University of Queensland,Prof David Fairlie,0000-0002-7856-8566
DP150103588,2015,Closed,310700,321456.0,Monash University,Prof Fima Klebaner; Prof Kais Hamza; Prof Andrew Barbour,0000-0001-8044-9761; 0000-0001-9444-3600
DP150104870,2015,Closed,154978,119929.0,The Australian National University,A/Prof Thomas DuBois,
DP150101336,2015,Closed,296300,310429.0,RMIT University,Prof Arnan Mitchell; A/Prof Thach Nguyen,0000-0002-2463-2956; 0000-0002-8409-5638
DP150101774,2015,Closed,363000,375648.0,Monash University,Prof Nicolas Voelcker; Prof Enzo Lombi; Prof Michael Roberts; Prof Craig Priest,0000-0002-1536-7804; 0000-0003-3384-0375; 0000-0002-8861-2161
DP150104497,2015,Closed,236700,244412.0,Central Queensland University,Prof Sally Ferguson; Prof Leon Lack; Prof Brad Aisbett,0000-0001-8077-0272
DP150104873,2015,Closed,355100,367392.0,The University of Sydney,Prof Kim Rasmussen; A/Prof Hao Zhang,0000-0002-8649-9257
DP150103437,2015,Closed,378818,392030.0,The University of Newcastle,Prof William Mitchell; Prof Robert Stimson; Prof Scott Baum,
DP150103082,2015,Closed,122259,123077.0,University of Wollongong,Prof Ian McLean; A/Prof Siobhan McHugh,0000-0002-8830-6500; 0000-0001-8079-1524
DP150104659,2015,Closed,392700,405317.0,Queensland University of Technology,Prof Matthew Phillips; Prof Peter Prentis,0000-0003-1532-449X; 0000-0001-6587-8875
DP150103990,2015,Closed,634100,663764.0,University of Wollongong,Prof David Adams; Dr Andrew Hung; Dr Quentin Kaas,0000-0002-7030-2288; 0000-0001-9988-6152
DP150104516,2015,Closed,207200,215846.0,The University of Adelaide,Em/Prof Rosemary Owens; Prof Andrew Stewart; A/Prof Anne Hewitt; A/Prof Joanna Howe,0000-0002-9758-3753; 0000-0003-1227-137X; 0000-0003-0195-9734
DP150100645,2015,Closed,377100,391395.0,The University of Queensland,Prof Jochen Mueller; A/Prof Guangming Jiang; A/Prof Phong Thai,0000-0002-0000-1973; 0000-0001-5399-8239; 0000-0003-0042-3057
DP150104645,2015,Closed,370100,383153.0,The Australian National University,Prof Fatih Porikli; A/Prof Mehrtash Harandi,0000-0002-6937-6300
DP150102144,2015,Closed,666000,685228.0,The University of Sydney,Prof Michael Jacobson; Prof Deborah Richards; A/Prof Charlotte Taylor; Dr Louise Sutherland,0000-0001-6521-9757; 0000-0002-7363-1511; 0000-0003-1945-1867
